e1	e2	min
P01111	P17275	-0.0
P01111	Q504U8	-0.0
P01111	P31749	-0.0
P01111	P49815	-0.0
P01111	Q03135	-0.0
P01111	P40763	-0.0
P01111	P40763	-0.0
P01111	P42224	-0.0
P01111	P04049	-0.0
P01111	P05412	-0.0
P01111	P05412	-0.0
P01111	Q92728	-0.0
P01111	P28482	-0.0
P01111	P15407	-0.0
P01111	P27986	-0.0
P01111	P38936	-0.0
P01111	P12931	-0.0
P01111	P01100	-0.0
P01111	P08047	-0.0
P01111	Q01094	-0.0
P01111	Q9H2M1	-0.0
P01111	Q9H2M1	-0.0
P01111	O15350	-0.0
P01111	P55317	-0.0
P01111	P15056	-0.0
P01111	P42336	-0.0
P01111	Q5JSB6	-0.0
P17275	Q504U8	-0.0
P17275	P31749	-0.0
P17275	P49815	-0.0
P17275	Q03135	-0.0
P17275	P40763	-0.0
P17275	P40763	-0.0
P17275	P42224	-0.0
P17275	P04049	-0.0
P17275	P05412	-0.0
P17275	P05412	-0.0
P17275	Q92728	-0.0
P17275	P28482	-0.0
P17275	P15407	-0.0
P17275	P27986	-0.0
P17275	P38936	-0.0
P17275	P12931	-0.0
P17275	P01100	-0.0
P17275	P08047	-0.0
P17275	Q01094	-0.0
P17275	Q9H2M1	-0.0
P17275	Q9H2M1	-0.0
P17275	O15350	-0.0
P17275	P55317	-0.0
P17275	P15056	-0.0
P17275	P42336	-0.0
P17275	Q5JSB6	-0.0
Q504U8	P31749	-0.0
Q504U8	P49815	-0.0
Q504U8	Q03135	-0.0
Q504U8	P40763	-0.0
Q504U8	P40763	-0.0
Q504U8	P42224	-0.0
Q504U8	P04049	-0.0
Q504U8	P05412	-0.0
Q504U8	P05412	-0.0
Q504U8	Q92728	-0.0
Q504U8	P28482	-0.0
Q504U8	P15407	-0.0
Q504U8	P27986	-0.0
Q504U8	P38936	-0.0
Q504U8	P12931	-0.0
Q504U8	P01100	-0.0
Q504U8	P08047	-0.0
Q504U8	Q01094	-0.0
Q504U8	Q9H2M1	-0.0
Q504U8	Q9H2M1	-0.0
Q504U8	O15350	-0.0
Q504U8	P55317	-0.0
Q504U8	P15056	-0.0
Q504U8	P42336	-0.0
