geneA	<interaction>	geneB	BRAF:R	BRAF:Pval	RAS:R	RAS:Pval	Difference (BRAF vs. RAS)	Sig of Difference	Protein Signaling
MAPK1	-a>	ESR1	-0.270053097361	0.0156212760852	0.00282284532647	53.2071213137	-0.272875942687	4.02155909115	Protein Activation
MAPK1	-a>	ESR1	-0.229717139322	0.135405607848	0.383152780291	0.506472235424	-0.612869919613	0.0650785131584	Transcriptional Activation
MAPK1	-a>	JUN	0.454037393359	1.33215331793e-08	0.0305031822946	45.4860038824	0.423534211064	0.515623639546	Protein Activation
MAPK1	-a>	JUN	0.0612395587493	23.0156287934	0.278353932375	3.46135249335	-0.217114373626	7.3898685407	Transcriptional Activation
TP73	-t>	CDKN1A	0.120226651751	6.33274194106	0.165416777522	14.9856322046	-0.0451901257715	14.1466621549	Protein Activation
EGFR	-a>	STAT1	0.0444874757003	30.4247040251	-2.53983129872e-05	53.9928657523	0.0445128740133	13.6784525615	Transcriptional Activation
AKT1	-a>	CDKN1A	0.137271226151	3.73985677681	0.0380298063081	43.4223191121	0.0992414198425	25.7019243006	Protein Activation
JUN	-t|	FOS	0.825997149055	3.35247369752e-42	0.942727561247	2.16858376172e-20	-0.116730412192	0.117734530299	Transcriptional Activation
PIK3R1	-a>	AKT1	-0.142065762382	3.23968331598	0.0988884829979	27.9771554967	-0.24095424538	6.09521763329	Protein Activation
ESR1	-t>	FOXA1	0.609945017101	4.52830859973e-17	0.716408956214	1.69205979139e-06	-0.106463939114	10.530199923	Transcriptional Activation
CAV1	-a>	STAT1	-0.0167582177258	44.7001028914	-0.0292281109143	45.8376711709	0.0124698931885	3.90984572483	Transcriptional Activation
BRAF	HPRD>	RAF1	-0.318567730409	0.000885703812607	-0.336200065671	1.29303872635	0.0176323352616	6.17283187065	Protein Activation
CDKN1A	-a|	TFDP1	0.0177657193678	44.1504730532	-0.0334377341976	44.6788163879	0.0512034535654	15.6195364393	Transcriptional Activation
AKT1	-a|	TSC2	0.295039716556	0.00379876052322	0.304779747726	2.25610410931	-0.00974003117046	3.35552658288	Protein Activation
SRC	-a>	CAV1	0.254361351522	0.0355138375715	0.0428655845716	42.1088617439	0.211495766951	8.00479943222	Protein Activation
BRAF	HPRD>	MAPK1	-0.427086379758	1.83404205561e-07	-0.0707445393386	34.7883805751	-0.35634184042	1.20825578746	Protein Activation
JUN	-t>	FOSL1	0.670643529448	5.84354783631e-22	0.628880393067	0.000200890741283	0.0417631363805	21.4613973693	Transcriptional Activation
MAPK1	-a>	SP1	-0.072284115014	18.7626532469	0.497499469883	0.0273803563659	-0.569783584897	0.0813928347901	Transcriptional Activation
MAPK1	-a>	STAT3	0.328337795004	0.00046625286539	0.012001280319	50.6322208699	0.316336514685	2.30661230916	Protein Activation
MAPK1	-a>	STAT3	-0.173999554697	1.23355184257	0.0961257434659	28.615166054	-0.270125298163	4.37472580374	Transcriptional Activation
BRAF	HPRD>	AKT1	-0.206872278479	0.317151448845	0.00314579553379	53.1164229386	-0.210018074012	8.36814860329	Protein Activation
RAF1	-a|	RB1	-0.172698778418	1.1828053585	-0.445672844492	0.116327133669	0.272974066074	3.03237774494	Protein Activation
RB1	-a>	SP1	0.0359324369628	34.6031471943	0.102452313414	27.1647624234	-0.0665198764509	19.9934742602	Transcriptional Activation
AKT1	-a|	E2F1	-0.149794688567	2.72829954131	-0.0766622874818	33.3018139593	-0.0731324010852	21.9267059355	Transcriptional Activation
SRC	-a>	PIK3CA	-0.397691956014	2.49250528226e-06	-0.0144632423958	49.9431542582	-0.383228713618	0.949069582821	Protein Activation
NRAS	HPRD>	PIK3CA	0.286366673028	0.00630014932598	0.618852387339	0.00031662457179	-0.332485714311	0.735487779998	Protein Activation
SRC	-a>	EGFR	0.0773950658489	16.5923128193	-0.113178594563	24.7942125141	0.190573660412	10.5499543767	Protein Activation
SP1	-t>	E2F1	0.627004430849	2.45442141574e-18	0.765556435049	4.87862336581e-08	-0.138552004199	4.33454922752	Transcriptional Activation
CDKN1A	-a>	E2F1	0.157756891928	2.12375422916	0.277692160654	3.4970817287	-0.119935268726	20.2544657865	Transcriptional Activation
SRC	-a>	AKT1	0.13448233881	4.0586159852	0.118443834449	23.6728810092	0.0160385043611	5.10153504466	Protein Activation
RAF1	-a>	MAPK1	0.18675482558	0.705885508052	-0.0105142748166	51.0488271677	0.197269100397	9.6692225709	Protein Activation
AKT1	-a|	CAV1	0.00576558310382	50.7310069465	-0.124744060585	22.3688975888	0.130509643689	19.3024803675	Protein Activation
MAPK1	-a>	FOS	-0.12657271553	5.34673464163	0.232567893957	6.70685380557	-0.359140609486	1.54306199824	Transcriptional Activation
PIK3CA	-a>	AKT1	0.0455362958176	29.615233263	0.217080504078	8.20978595107	-0.17154420826	12.4829397687	Protein Activation
SRC	-a>	MAPK1	0.598758431821	9.06351540508e-17	0.273580576698	3.7256914967	0.325177855123	0.905891457696	Protein Activation
NRAS	HPRD>	RAF1	0.242582072155	0.063674443888	0.261874855483	4.44180615981	-0.0192927833283	6.43743432738	Protein Activation
STAT3	-t>	JUNB	-0.00138348230634	53.2262775414	0.486589380117	0.0378434176702	-0.487972862424	0.219465526622	Transcriptional Activation
SRC	-a>	PIK3R1	-0.32522783002	0.000573287348103	-0.0215559169332	47.9642337227	-0.303671913086	2.67484951646	Protein Activation
