S000000001	TFC3	YAL001C
S000000002	VPS8	YAL002W
S000000003	EFB1	YAL003W
S000000004	SSA1	YAL005C
S000000005	ERP2	YAL007C
S000000006	FUN14	YAL008W
S000000007	SPO7	YAL009W
S000000008	MDM10	YAL010C
S000000009	SWC3	YAL011W
S000000010	CYS3	YAL012W
S000000011	DEP1	YAL013W
S000000012	SYN8	YAL014C
S000000013	NTG1	YAL015C
S000000014	TPD3	YAL016W
S000000015	PSK1	YAL017W
S000000016	LDS1	YAL018C
S000000017	FUN30	YAL019W
S000000018	ATS1	YAL020C
S000000019	CCR4	YAL021C
S000000020	FUN26	YAL022C
S000000021	PMT2	YAL023C
S000000022	LTE1	YAL024C
S000000023	MAK16	YAL025C
S000000024	DRS2	YAL026C
S000000025	SAW1	YAL027W
S000000026	FRT2	YAL028W
S000000027	MYO4	YAL029C
S000000028	SNC1	YAL030W
S000000029	GIP4	YAL031C
S000000030	PRP45	YAL032C
S000000031	POP5	YAL033W
S000000032	MTW1	YAL034W-A
S000000033	FUN12	YAL035W
S000000034	RBG1	YAL036C
S000000035		YAL037W
S000000036	CDC19	YAL038W
S000000037	CYC3	YAL039C
S000000038	CLN3	YAL040C
S000000039	CDC24	YAL041W
S000000040	ERV46	YAL042W
S000000041	PTA1	YAL043C
S000000042	GCV3	YAL044C
S000000043		YAL045C
S000000044	AIM1	YAL046C
S000000045	SPC72	YAL047C
S000000046	GEM1	YAL048C
S000000047	AIM2	YAL049C
S000000048	OAF1	YAL051W
S000000049	FLC2	YAL053W
S000000050	ACS1	YAL054C
S000000051	PEX22	YAL055W
S000000052	GPB2	YAL056W
S000000054	CNE1	YAL058W
S000000055	ECM1	YAL059W
S000000056	BDH1	YAL060W
S000000057	BDH2	YAL061W
S000000058	GDH3	YAL062W
S000000059	FLO9	YAL063C
S000000060		YAL064W
S000000061		YAL066W
S000000062	SEO1	YAL067C
S000000063	NUP60	YAR002W
S000000064	SWD1	YAR003W
S000000065	RFA1	YAR007C
S000000066	SEN34	YAR008W
S000000067		YAR009C
S000000068		YAR010C
S000000069	BUD14	YAR014C
S000000070	ADE1	YAR015W
S000000071	KIN3	YAR018C
S000000072	CDC15	YAR019C
S000000073	PAU7	YAR020C
S000000074		YAR023C
S000000075	UIP3	YAR027W
S000000076		YAR028W
S000000077		YAR029W
S000000078	PRM9	YAR031W
S000000079	MST28	YAR033W
S000000080	YAT1	YAR035W
S000000081	SWH1	YAR042W
S000000082		YAR044W
S000000083		YAR047C
S000000084	FLO1	YAR050W
S000000085		YAR053W
S000000086		YAR060C
S000000087		YAR061W
S000000088		YAR062W
S000000089		YAR064W
S000000091		YAR068W
S000000092		YAR069C
S000000093		YAR070C
S000000094	PHO11	YAR071W
S000000095	IMD1	YAR073W
S000000097	ECM15	YBL001C
S000000098	HTB2	YBL002W
S000000099	HTA2	YBL003C
S000000100	UTP20	YBL004W
S000000101	PDR3	YBL005W
S000000102	LDB7	YBL006C
S000000103	SLA1	YBL007C
S000000104	HIR1	YBL008W
S000000105	ALK2	YBL009W
S000000106		YBL010C
S000000107	SCT1	YBL011W
S000000108		YBL012C
S000000109	FMT1	YBL013W
S000000110	RRN6	YBL014C
S000000111	ACH1	YBL015W
S000000112	FUS3	YBL016W
S000000113	PEP1	YBL017C
S000000114	POP8	YBL018C
S000000115	APN2	YBL019W
S000000116	RFT1	YBL020W
S000000117	HAP3	YBL021C
S000000118	PIM1	YBL022C
S000000119	MCM2	YBL023C
S000000120	NCL1	YBL024W
S000000121	RRN10	YBL025W
S000000122	LSM2	YBL026W
S000000123	RPL19B	YBL027W
S000000124		YBL028C
S000000125		YBL029W
S000000126	PET9	YBL030C
S000000127	SHE1	YBL031W
S000000128	HEK2	YBL032W
S000000129	RIB1	YBL033C
S000000130	STU1	YBL034C
S000000131	POL12	YBL035C
S000000132		YBL036C
S000000133	APL3	YBL037W
S000000134	MRPL16	YBL038W
S000000135	URA7	YBL039C
S000000136	ERD2	YBL040C
S000000137	PRE7	YBL041W
S000000138	FUI1	YBL042C
S000000139	ECM13	YBL043W
S000000140		YBL044W
S000000141	COR1	YBL045C
S000000142	PSY4	YBL046W
S000000143	EDE1	YBL047C
S000000144	RRT1	YBL048W
S000000145	MOH1	YBL049W
S000000146	SEC17	YBL050W
S000000147	PIN4	YBL051C
S000000148	SAS3	YBL052C
S000000149		YBL053W
S000000150	TOD6	YBL054W
S000000151		YBL055C
S000000152	PTC3	YBL056W
S000000153	PTH2	YBL057C
S000000154	SHP1	YBL058W
S000000155		YBL059W
