YDL056W	YER111C	NA
YER111C	YGR044C	NA
YER111C	YLR403W	NA
YER111C	YLR182W	NA
YGR044C	YLR182W	NA
YIL131C	YNL068C	NA
YNL199C	YPL075W	NA
YOR358W	YPL075W	NA
YKR034W	YJL110C	5.66E-01
YOR113W	YDR043C	4.99E-01
YOR358W	YBL021C	4.91E-01
YLR131C	YDR146C	4.66E-01
YML027W	YDR451C	4.48E-01
YHR206W	YGL073W	4.38E-01
YJL110C	YER040W	4.32E-01
YPL248C	YML051W	4.31E-01
YNL068C	YBR049C	4.23E-01
YPL038W	YDR253C	4.22E-01
YNL314W	YIR023W	4.19E-01
YOR113W	YDR216W	4.12E-01
YLR098C	YBL005W	4.06E-01
YOR113W	YKL062W	4.03E-01
YMR037C	YKL062W	3.91E-01
YGL237C	YBL021C	3.91E-01
YPL089C	YBR182C	3.90E-01
YOR358W	YGL237C	3.89E-01
YPL202C	YGL071W	3.84E-01
YPL089C	YMR043W	3.80E-01
YOR113W	YMR037C	3.74E-01
YGL035C	YDR146C	3.70E-01
YPR104C	YIL131C	3.69E-01
YFL021W	YER040W	3.67E-01
YKR034W	YFL021W	3.66E-01
YOR113W	YGL035C	3.64E-01
YGL013C	YBR049C	3.63E-01
YJL110C	YDR463W	3.62E-01
YNL068C	YGL013C	3.57E-01
YGL013C	YDR421W	3.53E-01
YLR131C	YDR216W	3.53E-01
YKL062W	YGL035C	3.49E-01
YHR206W	YDL056W	3.47E-01
YOR113W	YDR146C	3.46E-01
YER111C	YDR146C	3.45E-01
YPR104C	YNL068C	3.43E-01
YOR113W	YGL071W	3.42E-01
YMR070W	YMR037C	3.37E-01
YPL038W	YIR017C	3.37E-01
YDR216W	YDR043C	3.36E-01
YDR463W	YDR123C	3.35E-01YNL103W
YOR113W	YER169W	3.33E-01
YGL035C	YDR043C	3.33E-01
YJL110C	YIL131C	3.33E-01
YPL038W	YNL103W	3.31E-01
YML051W	YDR463W	3.30E-01
YNL103W	YDR253C	3.29E-01
YGL035C	YER161C	3.26E-01
YPR199C	YPL089C	3.25E-01
YER040W	YEL009C	3.23E-01
YOR113W	YJL056C	3.23E-01
YJL089W	YFL031W	3.23E-01
YLR131C	YDR259C	3.23E-01
YPL038W	YGL013C	3.21E-01
YIL131C	YDR310C	3.16E-01
YDR146C	YBR049C	3.15E-01
YLR131C	YBR049C	3.14E-01
YPR199C	YIL131C	3.13E-01
YPL038W	YKL015W	3.13E-01
YDR463W	YDR259C	3.12E-01
YPR199C	YJL110C	3.11E-01
YNL167C	YBR049C	3.08E-01
YOR113W	YGL013C	3.07E-01
YJL110C	YHL009C	3.07E-01
YNL103W	YLR451W	3.06E-01
YGL013C	YBL005W	3.05E-01
YHR206W	YER161C	3.05E-01
YLR131C	YIL131C	3.03E-01
YNL167C	YIL131C	3.03E-01
YKL015W	YGL013C	3.03E-01
YGL131C	YDL048C	3.02E-01
YJL110C	YIR018W	3.01E-01
YPL038W	YLR098C	3.01E-01
YPL038W	YBR049C	3.00E-01
YJL089W	YEL009C	2.99E-01
YOR113W	YLR176C	2.99E-01
YGL162W	YER040W	2.98E-01
YGL035C	YBR049C	2.97E-01
YIL036W	YBR049C	2.96E-01
YPL038W	YJL110C	2.96E-01
YMR037C	YGL035C	2.95E-01
YOR113W	YNL103W	2.95E-01
YMR021C	YBL005W	2.94E-01
YOR358W	YKL109W	2.94E-01
YLR131C	YGL035C	2.93E-01
YML007W	YER040W	2.93E-01
YOR113W	YIR018W	2.91E-01
YJL110C	YGL071W	2.91E-01
YOR113W	YOR028C	2.91E-01
YNL167C	YNL068C	2.90E-01
YPL038W	YKR034W	2.89E-01
YER161C	YBR049C	2.89E-01YPR199C
YOR162C	YML051W	2.86E-01
YNL309W	YLR182W	2.86E-01
YOL108C	YBR049C	2.86E-01
YML007W	YDR463W	2.85E-01
YML051W	YLR256W	2.85E-01
YKR034W	YER040W	2.84E-01
YIL131C	YDR423C	2.84E-01
YDR477W	YDR043C	2.83E-01
YPL089C	YOL108C	2.83E-01
YPR104C	YMR043W	2.83E-01
YLR182W	YIL131C	2.83E-01
YOR372C	YIL131C	2.82E-01
YJL089W	YDR477W	2.82E-01
YOR028C	YJL110C	2.82E-01
YGL035C	YDR310C	2.80E-01
YOR113W	YIR017C	2.80E-01
YNL068C	YLR131C	2.78E-01
YJL089W	YDR463W	2.78E-01
YMR042W	YDR463W	2.78E-01
YPR199C	YOL108C	2.77E-01
YOR162C	YHR178W	2.77E-01
YKL062W	YDR043C	2.77E-01
YOL108C	YIL131C	2.77E-01
YPR065W	YOR372C	2.77E-01
YLR176C	YIR018W	2.77E-01
YNL199C	YDR259C	2.76E-01
YKL015W	YDR463W	2.76E-01
YLR451W	YBR049C	2.76E-01
YJL056C	YDR463W	2.76E-01
YLR098C	YKR034W	2.75E-01
YNL167C	YGL035C	2.75E-01
YMR037C	YDR451C	2.74E-01
YML007W	YDR423C	2.74E-01
YDR421W	YBL005W	2.74E-01
YBR240C	YBR049C	2.74E-01
YGL162W	YBL005W	2.73E-01
YNL314W	YLR098C	2.73E-01
YMR037C	YDR146C	2.73E-01
YLR176C	YKL020C	2.73E-01
YEL009C	YBL005W	2.72E-01
YOR113W	YML007W	2.72E-01
YLR098C	YDR421W	2.71E-01
YMR043W	YDR451C	2.70E-01
YPL089C	YDR423C	2.69E-01
YLR098C	YIR018W	2.69E-01
YIR017C	YGL162W	2.69E-01
YMR042W	YBL005W	2.69E-01
YLR098C	YDR259C	2.69E-01
YIR018W	YIL131C	2.68E-01
YML007W	YEL009C	2.68E-01
