S000002214	S000000913	NA
S000000913	S000003276	NA
S000000913	S000004395	NA
S000000913	S000004172	NA
S000003276	S000004172	NA
S000001393	S000005012	NA
S000005143	S000005996	NA
S000005885	S000005996	NA
S000001742	S000003646	5.66E-01
S000005639	S000002450	4.99E-01
S000005885	S000000117	4.91E-01
S000004121	S000002553	4.66E-01
S000004489	S000002859	4.48E-01
S000001249	S000003041	4.38E-01
S000003646	S000000842	4.32E-01
S000006169	S000004515	4.31E-01
S000005012	S000000253	4.23E-01
S000005959	S000002661	4.22E-01
S000005258	S000001462	4.19E-01
S000005639	S000002624	4.12E-01
S000004088	S000000101	4.06E-01
S000005639	S000001545	4.03E-01
S000004640	S000001545	3.91E-01
S000003206	S000000117	3.91E-01
S000006010	S000000386	3.90E-01
S000005885	S000003206	3.89E-01
S000006123	S000003039	3.84E-01
S000006010	S000004646	3.80E-01
S000005639	S000004640	3.74E-01
S000003003	S000002553	3.70E-01
S000006308	S000001393	3.69E-01
S000001873	S000000842	3.67E-01
S000001742	S000001873	3.66E-01
S000005639	S000003003	3.64E-01
S000002981	S000000253	3.63E-01
S000003646	S000002871	3.62E-01
S000005012	S000002981	3.57E-01
S000002981	S000002829	3.53E-01
S000004121	S000002624	3.53E-01
S000001545	S000003003	3.49E-01
S000001249	S000002214	3.47E-01
S000005639	S000002553	3.46E-01
S000000913	S000002553	3.45E-01
S000006308	S000005012	3.43E-01
S000005639	S000003039	3.42E-01
S000004674	S000004640	3.37E-01
S000005959	S000001456	3.37E-01
S000002624	S000002450	3.36E-01
S000002871	S000002530	3.35E-01YNL103W
S000005639	S000000971	3.33E-01
S000003003	S000002450	3.33E-01
S000003646	S000001393	3.33E-01
S000005959	S000005047	3.31E-01
S000004515	S000002871	3.30E-01
S000005047	S000002661	3.29E-01
S000003003	S000000963	3.26E-01
S000006403	S000006010	3.25E-01
S000000842	S000000735	3.23E-01
S000005639	S000003592	3.23E-01
S000003625	S000001863	3.23E-01
S000004121	S000002667	3.23E-01
S000005959	S000002981	3.21E-01
S000001393	S000002718	3.16E-01
S000002553	S000000253	3.15E-01
S000004121	S000000253	3.14E-01
S000006403	S000001393	3.13E-01
S000005959	S000001498	3.13E-01
S000002871	S000002667	3.12E-01
S000006403	S000003646	3.11E-01
S000005111	S000000253	3.08E-01
