Index	AUC	Baseline AUC	Number Edges	Friend of Friend	2-Hop PPI/SL	2-Hop PPI Kernel/SL	PPI Kernel Predictive	PPI Edges Predictive
7	0.410921582563	0.477138118929	641	0.0	1.4717623924920702	3.933930358168865	8.452037067138448	9.372877757630532
8	0.522555443548	0.468497983871	641	0.0	2.0544719391181823	5.0523480866560595	8.621263118969013	8.949822787154174
9	0.411158493248	0.478322672353	641	0.0	1.6283254734224386	3.8741139968289833	8.218824931377338	9.300843056488413
4	0.549899396378	0.574622736419	675	0.0	0.20330953083554162	0.8834854071385092	7.617613787865379	5.216011296323602
5	0.38928491869	0.399643573179	675	0.17274072723269526	0.11490421191832487	0.3815678268117888	7.32804618980239	5.752035796933102
6	0.549899396378	0.582494969819	675	0.009022701434139435	0.1884976218777081	0.898902168828252	8.607580790162626	7.4615054851360325
50	0.5	0.504756049299	1234	0.0	0.16768574575801673	0.05517151241656584	6.742585284397556	8.616376225865775
49	0.604121940747	0.474231161443	1341	0.0	0.06372517094888776	0.02754343730494602	5.651446827208255	7.473426421437696
1	0.451571279917	0.488262226847	1522	0.0	1.0528719655262087	3.0777958809002235	9.071121144186856	8.542115255458167
2	0.578969009695	0.6576783241	1522	0.0	5.9663540012742375	6.252987705648831	8.897419967959149	6.748247436831346
3	0.452486992716	0.488428720083	1522	0.0	0.9998459929139194	3.1037430899591447	8.4730657340961	6.729479157652187
10	0.410294117647	0.507904411765	1733	0.0	0.0	0.0	4.296114112193961	0.1101341447318575
11	0.437487396653	0.539019963702	1733	0.0	0.0	0.0	2.1828759382724967	0.093098306649027
12	0.410294117647	0.511129679144	1733	0.0	0.0	0.0	2.8945906912714	0.058612076856688435
25	0.464517387699	0.467334048676	2009	0.0	5.355503538526525	7.1815206519938295	8.25235199333641	7.101486056468145
26	0.46	0.521604477612	2009	0.0	5.927072350103877	6.798482365298634	8.676944095757168	7.231666121182031
27	0.46171292006	0.47630834512	2009	0.0	5.3976228942374656	7.277604047323373	8.057060514376248	7.192881470699977
31	0.479338842975	0.517764753091	2401	0.0	1.3149808578464686	4.7759107597498005	6.89501509922711	6.518214673607157
32	0.476890756303	0.478181897759	2401	0.0	0.7700659940299381	1.1078687806147636	6.698890545289868	5.633355106724298
33	0.479338842975	0.518185233249	2401	0.0	1.0220033144408238	4.694577841312776	7.615980462131928	5.238885973414747
28	0.458750305101	0.54623810105	2406	0.0	0.10825598478402304	0.31667687645970966	5.221368711162915	1.9843415050785957
29	0.494887064012	0.532734943315	2406	0.0	0.05191992582662664	0.4166771314386306	6.754612660762593	5.223398431051963
30	0.458767739461	0.545643153527	2406	0.0	0.09518480202604969	0.3194746910037134	5.652045903710035	1.4032999470174201
34	0.439146298795	0.625743489779	2461	0.0	0.0	0.0	0.628903352972251	0.035108846444737545
35	0.493611866994	0.496936599854	2461	0.0	0.0	0.0	0.4058092671521718	0.03775104530508008
36	0.439146298795	0.619260342214	2461	0.0	0.0	0.0	0.8602941862309114	0.04098776388659878
46	0.711428396362	0.740690415025	3042	0.0	3.5145171813612253	6.123912724435669	5.915446961423347	3.089470294456289
47	0.751320450886	0.777258454106	3042	0.0	0.46808801338283523	2.3135952681307903	5.963728200735731	2.2397188572071762
48	0.751344605475	0.777258454106	3042	0.0	0.4430244488533815	2.37965092655641	6.335208715033096	4.195927876949465
16	0.485342963836	0.57668533805	3161	0.0	0.03454542126253854	0.058394605355888134	1.1135229316442534	0.44145716344469405
17	0.475788627687	0.584720966446	3161	0.0	0.04176321661123886	0.11019960698352095	3.5314731924476597	2.364086086965052
18	0.485382272013	0.577378144654	3161	0.0	0.024146476360947924	0.057602025992910665	0.44680729110137335	0.10721351184957234
19	0.470170454545	0.654922313904	3542	0.0	0.0	0.028464652420949744	0.3195824524391426	0.0686116478401544
20	0.465909090909	0.571750960307	3542	0.0	0.0	0.031022443865491675	0.42664306452149314	0.4868098976341462
21	0.470170454545	0.654945256639	3542	0.0	0.0	0.02699206466146993	0.9422975951842428	0.07328551625175994
43	0.452961672474	0.61228795679	5778	0.0	0.0	0.0	0.016937260358523235	0.0
44	0.460069444444	0.548762795559	5778	0.0	0.0	0.0	0.010327699525540175	0.0
45	0.452961672474	0.612348992682	5778	0.0	0.0	0.0	0.02630161936882956	0.0
14	0.398569570871	0.654475715338	7847	0.0	0.0	0.0	0.031955685868496425	0.010455263602409648
15	0.388387096774	0.580798101988	7847	0.0	0.0	0.0	0.014885845541682527	0.0
40	0.46766743649	0.575085292883	8775	0.0	0.0	0.0	0.1638762518156142	0.032131836747352954
41	0.464571428571	0.53654237013	8775	0.0	0.0	0.0	0.8393590222692867	0.052467909369189394
42	0.46766743649	0.575110060624	8775	0.0	0.0	0.0	0.26486273329756765	0.1310052684869705
22	0.430009587728	0.671399496486	10559	0.0	0.0	0.0	0.0	0.0
23	0.430288461538	0.579502170485	10559	0.0	0.0	0.0	0.0	0.0
24	0.430009587728	0.66852148383	10559	0.0	0.0	0.0	0.0	0.0
37	0.449499165275	0.685730765581	12082	0.0	0.0	0.0	0.0	0.0
38	0.449372384937	0.551520407423	12082	0.0	0.0	0.0	0.0	0.0
39	0.449499165275	0.689713154544	12082	0.0	0.0	0.0	0.0	0.0
