Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007017~microtubule-based process	25	10.0	8.878627566375212E-10	3127858, 3126687, 3129384, 3123097, 3126485, 3124490, 3128056, 3127422, 3128740, 3125998, 3123193, 3126017, 3127307, 3126464, 3123604, 3126809, 3125101, 3124845, 3128939, 3129316, 3122590, 3125659, 3126910, 3127789, 3124057	237	117	4870	4.390710086912619	9.846393423940114E-7	9.846393423940114E-7	1.42129014113479E-6
GOTERM_BP_FAT	GO:0051129~negative regulation of cellular component organization	16	6.4	2.5741405645299258E-8	3126687, 3127858, 3123097, 3126495, 3124432, 3125278, 3129598, 3129316, 3123211, 3125659, 3124645, 3128740, 3123415, 3127307, 3124057, 3128123	237	55	4870	5.977752205600306	2.854681179154106E-5	1.4273507762285753E-5	4.1206817136263396E-5
GOTERM_BP_FAT	GO:0000226~microtubule cytoskeleton organization	20	8.0	3.278717947497965E-7	3126687, 3127858, 3129384, 3123097, 3126485, 3124490, 3125101, 3128056, 3124845, 3128939, 3129316, 3127422, 3122590, 3128740, 3126910, 3125998, 3123193, 3126017, 3127789, 3127307	237	103	4870	3.990004506165253	3.6354378188585557E-4	1.2119594849313575E-4	5.248556597781118E-4
GOTERM_BP_FAT	GO:0030705~cytoskeleton-dependent intracellular transport	10	4.0	5.705978383032268E-7	3126687, 3127858, 3123097, 3126485, 3126809, 3123193, 3127789, 3127307, 3126464, 3129316	237	23	4870	8.93414052467437	6.325930118413758E-4	1.581857831152167E-4	9.134087293971582E-4
GOTERM_BP_FAT	GO:0051647~nucleus localization	10	4.0	8.747362893494717E-7	3126687, 3127858, 3123097, 3128351, 3126485, 3126809, 3126910, 3127307, 3126464, 3129316	237	24	4870	8.561884669479605	9.696125908613684E-4	1.939977738439902E-4	0.0014002680793989697
GOTERM_BP_FAT	GO:0040023~establishment of nucleus localization	10	4.0	8.747362893494717E-7	3126687, 3127858, 3123097, 3128351, 3126485, 3126809, 3126910, 3127307, 3126464, 3129316	237	24	4870	8.561884669479605	9.696125908613684E-4	1.939977738439902E-4	0.0014002680793989697
GOTERM_BP_FAT	GO:0051248~negative regulation of protein metabolic process	13	5.2	8.777710084629738E-7	3127858, 3126687, 3123097, 3126485, 3129598, 3127700, 3129316, 3123211, 3128740, 3126910, 3124057, 3128123, 3123415	237	45	4870	5.93624003750586	9.729748283213713E-4	1.6222825217138137E-4	0.0014051259917158276
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	36	14.399999999999999	1.3599403270788708E-6	3126687, 3127858, 3129384, 3123097, 3128099, 3126485, 3124490, 3128056, 3123056, 3129765, 3123211, 3124645, 3125528, 3128740, 3125998, 3123193, 3126017, 3127307, 3126464, 3126990, 3126568, 3129520, 3126495, 3126809, 3124845, 3128871, 3128939, 3127700, 3129316, 3122590, 3126071, 3124344, 3126751, 3126910, 3126070, 3127789	237	309	4870	2.3940027036991522	0.001507038124143989	2.1543034130777627E-4	0.002176969355938141
GOTERM_BP_FAT	GO:0007010~cytoskeleton organization	29	11.600000000000001	1.9374118525818008E-6	3126687, 3127858, 3124756, 3129384, 3123097, 3126485, 3124490, 3125278, 3128056, 3127422, 3128740, 3125998, 3123193, 3126017, 3123415, 3127307, 3129357, 3123645, 3125101, 3124845, 3128939, 3129316, 3125968, 3122590, 3125659, 3126910, 3127923, 3128145, 3127789	237	221	4870	2.69641254749222	0.002146285254742919	2.685379154757639E-4	0.003101362517354822
GOTERM_BP_FAT	GO:0007018~microtubule-based movement	9	3.5999999999999996	4.787299989696026E-6	3127858, 3129384, 3123097, 3126485, 3128740, 3126809, 3127307, 3126464, 3129316	237	22	4870	8.406214039125432	0.0052950598827546935	5.897291965336615E-4	0.007663231345456101
GOTERM_BP_FAT	GO:0007097~nuclear migration	9	3.5999999999999996	7.0362078037279334E-6	3127858, 3123097, 3128351, 3126485, 3126809, 3126910, 3127307, 3126464, 3129316	237	23	4870	8.040726472206934	0.0077728161174359656	7.80013821611858E-4	0.011262962083935513
GOTERM_BP_FAT	GO:0048285~organelle fission	25	10.0	1.6604949618333653E-5	3126687, 3129384, 3123097, 3126485, 3128056, 3129765, 3124645, 3128740, 3126017, 3127307, 3126990, 3126464, 3125873, 3126495, 3124545, 3126809, 3124845, 3128871, 3128939, 3127700, 3129316, 3122590, 3124344, 3126070, 3128471	237	194	4870	2.6480055678802903	0.018246521156356277	0.0016726942139276835	0.02657788046237508
GOTERM_BP_FAT	GO:0048590~non-developmental growth	10	4.0	2.2897703256185675E-5	3124756, 3128209, 3127553, 3125998, 3123645, 3128145, 3129442, 3123193, 3125101, 3127789	237	34	4870	6.043683296103252	0.0250741319484018	0.0021139161623273672	0.0366483306745935
GOTERM_BP_FAT	GO:0007117~budding cell bud growth	10	4.0	2.2897703256185675E-5	3124756, 3128209, 3127553, 3125998, 3123645, 3128145, 3129442, 3123193, 3125101, 3127789	237	34	4870	6.043683296103252	0.0250741319484018	0.0021139161623273672	0.0366483306745935
GOTERM_BP_FAT	GO:0051294~establishment of spindle orientation	6	2.4	9.311088555020032E-5	3127858, 3125998, 3126910, 3123193, 3127789, 3127307	237	11	4870	11.208285385500576	0.0981118597959475	0.00791197880604022	0.14894774589380155
GOTERM_BP_FAT	GO:0040001~establishment of mitotic spindle localization	6	2.4	9.311088555020032E-5	3127858, 3125998, 3126910, 3123193, 3127789, 3127307	237	11	4870	11.208285385500576	0.0981118597959475	0.00791197880604022	0.14894774589380155
GOTERM_BP_FAT	GO:0051293~establishment of spindle localization	6	2.4	9.311088555020032E-5	3127858, 3125998, 3126910, 3123193, 3127789, 3127307	237	11	4870	11.208285385500576	0.0981118597959475	0.00791197880604022	0.14894774589380155
GOTERM_BP_FAT	GO:0051653~spindle localization	6	2.4	9.311088555020032E-5	3127858, 3125998, 3126910, 3123193, 3127789, 3127307	237	11	4870	11.208285385500576	0.0981118597959475	0.00791197880604022	0.14894774589380155
GOTERM_BP_FAT	GO:0000132~establishment of mitotic spindle orientation	6	2.4	9.311088555020032E-5	3127858, 3125998, 3126910, 3123193, 3127789, 3127307	237	11	4870	11.208285385500576	0.0981118597959475	0.00791197880604022	0.14894774589380155
GOTERM_BP_FAT	GO:0007021~tubulin complex assembly	5	2.0	1.6766734883778646E-4	3123211, 3128992, 3125528, 3124432, 3126568	237	7	4870	14.677516576250754	0.16969209731814516	0.013194936245299882	0.26806434836784687
GOTERM_BP_FAT	GO:0051656~establishment of organelle localization	14	5.6000000000000005	1.907917925227259E-4	3126687, 3127858, 3123097, 3126485, 3128351, 3129357, 3126809, 3129316, 3126910, 3125998, 3123193, 3127789, 3127307, 3126464	237	85	4870	3.384462645817821	0.19071835684520178	0.014008178469230859	0.30498249477860506
GOTERM_BP_FAT	GO:0010970~microtubule-based transport	7	2.8000000000000003	1.9352827316362656E-4	3127858, 3123097, 3126485, 3126809, 3127307, 3126464, 3129316	237	19	4870	7.570508549855652	0.19317107772787767	0.013325643476158389	0.3093504349128695
GOTERM_BP_FAT	GO:0030473~nuclear migration along microtubule	7	2.8000000000000003	1.9352827316362656E-4	3127858, 3123097, 3126485, 3126809, 3127307, 3126464, 3129316	237	19	4870	7.570508549855652	0.19317107772787767	0.013325643476158389	0.3093504349128695
